D_bar,5a0ebeddfdc81513a9dcf33d,5a0ee1c397e0bc4831663486,5a0eeec3ae845313c72e280a,5a0ef92e0525bc484398d1f8,5a0eff8948c5984825e18bba,5a0f05b3bcb30313c1318d8e,5a0f0c5348c5984825e18bbb,5a0f0e693feafb4f684d1abb,5a0f100fe691ef1af5572637,5a0f12dc0525bc484398d1fb,5a0f14601c156e483dc740c8,5a0f169bc31f3448494eb6f7,5a0f178632516b13bbf49e3f,5a0f17acd6c58c139daa8a50,5a0f187c1c067a1ae7e6733c,5a0f192a48c5984825e18bca,5a0f19b9d6c58c139daa8a51,5a0f1aa832516b13bbf49e41,5a0f1ae71c067a1ae7e6733d,5a0f1af0fdc81513a9dcf349,5a0f1b04bcb30313c1318d90,5a0f1bcb48c5984825e18bcc,5a0f1c2a0525bc484398d1fc,5a0f1c61fdc81513a9dcf34a,5a0f1c8348c5984825e18bcd,5a0f1cabbcb30313c1318d91,5a0f1e361c067a1ae7e6733e,5a0f1edc1c156e483dc740c9,5a0f1fcd1c067a1ae7e6733f,5a0f202bc31f3448494eb6f9,5a0f215be691ef1af5572639,5a0f21641c156e483dc740ca,5a0f21686d59381b0f22075a,5a0f216e6d59381b0f22075b,5a0f21990525bc484398d1fd,5a0f225c5c4f9a48378c2db3,5a0f22912c520b484f1b87fc,5a0f22c93feafb4f684d1ac1,5a0f2391ae845313c72e2811,5a0f24065c4f9a48378c2db4,5a0f241432516b13bbf49e42,5a0f24a097e0bc483166348f,5a0f25093feafb4f684d1ac2,5a0f2514e691ef1af557263b,5a0f259a0525bc484398d200,5a0f25eb32516b13bbf49e44,5a0f25efbcb30313c1318d97,5a0f2610d6c58c139daa8a53,5a0f2681e691ef1af557263c,5a0f269a48c5984825e18bd0,5a0f26cb3feafb4f684d1ac7,5a0f270efdc81513a9dcf34c,5a0f274f97e0bc4831663490,5a0f2755e691ef1af557263e,5a0f27bdbcb30313c1318d9a,5a0f27efe691ef1af557263f,5a0f283332516b13bbf49e45,5a0f2857fdc81513a9dcf34d,5a0f2895ae845313c72e2812,5a0f2897e691ef1af5572640,5a0f292148c5984825e18bd1,5a0f29330525bc484398d202,5a0f29b50525bc484398d204,5a0f29b697e0bc4831663491,5a0f29b80525bc484398d205,5a0f2a3cd6c58c139daa8a54,5a0f2a521c156e483dc740cc,5a0f2a882c520b484f1b87ff,5a0f2b071c067a1ae7e67341,5a0f2b2448c5984825e18bd4,5a0f2b636d59381b0f22075c,5a0f2b73d6c58c139daa8a56,5a0f2ba56d59381b0f22075d,5a0f2ba71c156e483dc740cd,5a0f2bd1fdc81513a9dcf34f,5a0f2c131c156e483dc740ce,5a0f2c42e691ef1af5572643,5a0f2c4397e0bc4831663492,5a0f2c4a97e0bc4831663493,5a0f2c8dbcb30313c1318d9e,5a0f2c8e97e0bc4831663495,5a0f2cdcd6c58c139daa8a57,5a0f2d141c067a1ae7e67343,5a0f2d4c5c4f9a48378c2db7,5a0f2d811c156e483dc740cf,5a0f2da4ae845313c72e2816,5a0f2dcfae845313c72e2817,5a0f2dfee691ef1af5572645,5a0f2e3497e0bc4831663497,5a0f2e4f3feafb4f684d1aca,5a0f2e83bcb30313c1318d9f,5a0f2f075c4f9a48378c2db9,5a0f2f15bcb30313c1318da0,5a0f2f2f32516b13bbf49e49,5a0f2f491c067a1ae7e67344,5a0f2f4b0525bc484398d207,5a0f2f602c520b484f1b8801,5a0f3089e691ef1af5572648,5a0f308ee691ef1af5572649,5a0f30adae845313c72e281c,5a0f30c33feafb4f684d1acd,5a0f30d1e691ef1af557264b,5a0f30df0525bc484398d208,5a0f3106ae845313c72e281d,5a0f314aae845313c72e281e,5a0f3161ae845313c72e281f,5a0f316bc31f3448494eb6fe,5a0f3195e691ef1af557264c,5a0f320e5c4f9a48378c2dba,5a0f322eeca4fc22e027a312,5a0f331cae845313c72e2821,5a0f33b299ec112dd1215692,5a0f33b293984022d41562d0,5a0f33dbb0da9122e35a8d45,5a0f33e40525bc484398d209,5a0f33fda7e49c22d705f640,5a0f3400b546e022c2fa61d6,5a0f3442eca4fc22e027a313,5a0f344e059ac522ef987c4d,5a0f350e17153722f5634d3c,5a0f3512b884b12dc5b4fbcb,5a0f3532d442ff22bc769147,5a0f354fae845313c72e2822,5a0f35fca7e49c22d705f641,5a0f368b172b442ddd1d05ea,5a0f36d6172b442ddd1d05eb,5a0f371ae691ef1af557264f,5a0f379b51fd882301b6d13c,5a0f37ca51fd882301b6d13d,5a0f3830059ac522ef987c4f,5a0f383332516b13bbf49e4d,5a0f38b4ae845313c72e2823,5a0f3931c988512deb672b83,5a0f39c817153722f5634d3d,5a0f3a584b4fc722fbe1c726,5a0f3a94172b442ddd1d05ed,5a0f3b5db884b12dc5b4fbcc,5a0f3ba9a7e49c22d705f646,5a0f3bad51fd882301b6d13e,5a0f3c3f172b442ddd1d05ee,5a0f3cbdae845313c72e2826,5a0f3d2b99ec112dd1215696,5a0f3d4c99ec112dd1215697,5a0f3d5a172b442ddd1d05ef,5a0f3d7bc988512deb672b87,5a0f3d9b4b4fc722fbe1c727,5a0f3e4bc988512deb672b89,5a0f3e7432516b13bbf49e52,5a0f3e8251fd882301b6d140,5a0f3e8e51fd882301b6d141,5a0f3e8e4b4fc722fbe1c728,5a0f3ec3e691ef1af5572653,5a0f3ed417153722f5634d40,5a0f3f1cf160552db93e65b4,5a0f3f62a7e49c22d705f649,5a0f3f7d4b4fc722fbe1c72b,5a0f3fd0ae845313c72e2827,5a0f4029172b442ddd1d05f1,5a0f40b4c988512deb672b8b,5a0f40bc17153722f5634d41,5a0f40c7c988512deb672b8c,5a0f4107f160552db93e65b5,5a0f41e9f160552db93e65b6,5a0f421b32516b13bbf49e54,5a0f423c172b442ddd1d05f2,5a0f433d32516b13bbf49ea9,5a0f437232516b13bbf49eaa,5a0f439517153722f5634d42,5a0f44d832516b13bbf49eab,5a0f44dd51fd882301b6d147,5a0f4653ae845313c72e282a,5a0f4694f160552db93e65b9,5a0f47f1b884b12dc5b4fbcf,5a0f482bb0da9122e35a8d4a,5a0f486d11ae4222e93bc463,5a0f489a263abd22dd1e3aec,5a0f49bba7e49c22d705f681,5a0f4e10ae845313c72e282e,5a0f4ef1263abd22dd1e3af2
5a0f1b04bcb30313c1318d90,41,23,27,20,36,30,40,31,25,26,15,28,29,20,46,23,37,26,5,35,0,44,29,12,32,46,42,21,31,41,14,32,30,32,32,22,34,38,38,27,43,25,23,30,36,26,38,26,18,34,28,43,27,29,37,25,27,27,36,26,17,26,32,25,30,24,28,27,28,30,21,29,36,19,20,44,29,42,20,27,39,37,13,35,46,28,29,24,30,30,26,39,23,46,39,18,39,36,46,35,28,31,44,28,26,36,25,34,39,41,30,25,25,28,17,20,21,28,30,28,28,25,26,25,13,41,33,24,25,20,32,38,25,12,37,32,12,25,18,21,41,19,25,23,27,21,31,23,36,44,19,16,25,21,30,27,38,40,21,24,10,38,33,25,27,37,35,18,31,43,41,34,34,30,31,22,35,41,23
5a0f1bcb48c5984825e18bcc,34,18,41,42,36,30,56,17,26,27,27,31,40,18,36,24,38,37,27,40,29,0,37,36,15,47,42,21,43,34,30,16,41,32,56,22,34,49,47,21,46,42,23,32,39,21,38,29,19,36,38,39,41,29,56,25,13,33,36,27,35,43,40,33,46,26,41,30,45,24,32,46,31,36,28,34,41,44,37,30,50,33,37,37,64,23,29,25,25,47,40,41,22,40,40,31,41,44,62,44,25,31,51,30,38,50,42,50,48,47,39,20,25,43,30,15,18,40,33,35,37,37,27,39,25,38,34,39,26,15,36,42,25,26,46,19,33,37,27,31,43,34,35,22,21,15,49,22,36,51,37,39,43,16,42,44,35,46,39,39,32,45,22,42,30,41,39,42,24,44,42,43,52,41,31,24,32,47,18
5a0f1c2a0525bc484398d1fc,18,16,30,30,26,18,35,28,10,11,16,9,19,19,20,12,23,17,28,17,28,28,0,28,25,21,27,10,22,20,19,26,23,17,42,12,8,29,23,12,25,23,12,28,14,7,12,15,15,10,17,15,29,18,36,14,22,15,25,11,21,29,16,15,26,8,27,16,26,11,17,27,29,22,11,17,20,18,23,16,30,9,38,12,45,9,13,9,23,28,22,17,11,23,14,19,15,20,42,20,19,15,32,13,17,30,23,31,24,22,19,18,14,24,18,13,26,19,7,16,13,16,6,22,16,13,8,21,10,13,11,16,9,21,22,28,34,16,14,19,17,22,15,11,8,13,34,11,21,26,22,27,28,14,21,25,11,20,24,22,32,20,13,23,7,16,14,34,7,18,16,19,32,26,23,7,7,22,16
5a0f1c61fdc81513a9dcf34a,42,26,25,12,38,32,33,37,25,26,15,27,25,24,47,25,38,21,12,33,11,45,28,0,36,45,43,23,27,42,11,37,28,33,24,24,32,33,34,30,43,18,25,34,35,28,36,27,21,33,25,43,25,31,30,27,32,26,38,26,11,21,29,24,23,24,25,28,22,32,20,23,39,14,18,44,24,40,15,27,34,37,21,33,38,30,30,25,33,23,22,38,24,48,36,17,37,32,39,31,31,32,43,29,22,31,19,28,35,37,27,29,27,24,16,24,26,24,28,27,24,21,26,21,14,40,32,20,25,23,30,36,25,14,33,37,19,21,18,21,39,17,22,24,28,24,26,24,37,40,14,9,20,25,26,21,38,36,15,20,16,34,35,19,26,35,33,13,32,40,38,30,27,27,33,23,35,37,27
5a0f1c8348c5984825e18bcd,34,16,39,39,35,28,53,15,24,25,24,29,38,16,37,22,37,35,23,38,25,42,35,32,0,46,41,19,41,34,27,16,38,31,53,21,33,47,45,20,45,39,21,29,38,20,38,27,16,35,36,39,38,27,53,23,12,31,34,26,32,41,38,31,44,24,39,28,43,24,29,44,29,34,26,34,38,43,35,28,48,33,34,36,62,22,27,24,23,44,37,40,21,39,39,28,40,42,60,42,23,29,49,28,36,48,40,48,46,46,37,18,23,40,27,13,14,38,32,33,35,35,26,37,22,38,33,36,24,13,35,41,23,23,44,18,30,35,25,28,42,31,32,21,20,14,46,20,34,50,34,36,40,14,40,42,34,44,36,36,28,44,22,40,28,39,38,38,24,44,41,41,50,39,29,22,31,46,16
5a0f1cabbcb30313c1318d91,38,36,42,37,46,38,33,49,29,30,31,26,24,39,33,31,42,21,43,28,42,48,33,38,47,0,46,29,26,41,31,47,35,36,43,32,16,33,25,33,41,23,32,47,27,28,17,33,35,22,26,33,42,37,32,34,43,29,44,30,28,37,20,29,23,26,38,34,27,32,30,28,49,30,25,31,24,14,31,34,34,26,53,21,40,30,33,28,43,28,30,33,31,44,11,33,11,22,39,22,40,35,47,32,22,33,24,31,25,19,28,38,34,30,31,34,46,24,16,30,15,21,24,31,32,29,21,28,29,34,20,22,29,36,24,49,50,20,29,34,13,35,26,31,29,34,42,31,41,21,30,33,36,35,26,26,28,20,31,30,48,15,33,23,23,28,22,44,28,15,12,21,29,38,42,26,23,19,37
5a0f1e361c067a1ae7e6733e,34,16,39,39,35,28,53,15,24,25,24,29,38,16,37,22,37,35,23,38,25,42,35,32,15,46,0,19,41,34,27,16,38,31,53,21,33,47,45,20,45,39,21,29,38,20,38,27,16,35,36,39,38,27,53,23,12,31,34,26,32,41,38,31,44,24,39,28,43,24,29,44,29,34,26,34,38,43,35,28,48,33,34,36,62,22,27,24,23,44,37,40,21,39,39,28,40,42,60,42,23,29,49,28,36,48,40,48,46,46,37,18,23,40,27,13,14,38,32,33,35,35,26,37,22,38,33,36,24,13,35,41,23,23,44,18,30,35,25,28,42,31,32,21,20,14,46,20,34,50,34,36,40,14,40,42,34,44,36,36,28,44,22,40,28,39,38,38,24,44,41,41,50,39,29,22,31,46,16
5a0f1edc1c156e483dc740c9,21,9,24,26,18,11,36,22,5,7,9,11,19,11,26,4,18,17,20,20,20,24,16,22,20,28,22,0,22,21,14,21,21,12,39,4,16,29,26,9,26,22,4,20,19,6,20,8,7,17,17,23,24,10,36,6,16,13,17,7,17,25,19,12,26,5,23,10,26,10,12,27,22,18,8,23,20,25,19,9,30,17,30,18,44,8,9,5,16,27,20,21,3,26,22,14,22,24,42,23,12,11,30,9,18,30,23,30,27,27,19,11,6,23,12,6,18,19,13,14,16,16,7,20,9,21,15,19,5,6,16,22,5,13,25,22,26,16,8,13,24,16,14,3,7,6,30,3,16,31,18,22,24,7,22,25,19,25,21,19,24,25,14,22,10,21,19,28,11,26,24,22,32,22,15,3,16,27,9
5a0f1fcd1c067a1ae7e6733f,38,29,26,14,38,32,17,42,23,24,17,22,15,29,41,24,36,10,25,25,24,42,23,17,40,36,41,22,0,40,13,41,22,31,21,24,23,22,21,29,37,2,24,37,27,26,26,25,24,24,16,37,26,30,16,27,36,21,37,24,8,17,18,19,7,20,22,26,6,30,17,7,42,10,14,38,13,28,11,26,23,30,34,24,24,28,28,22,36,7,14,31,24,44,24,18,25,20,23,19,32,30,38,26,11,18,3,12,23,24,19,31,27,14,16,26,34,13,19,22,12,9,21,15,17,33,24,11,23,26,20,26,23,21,20,42,31,9,17,21,27,18,15,24,26,26,22,24,36,26,10,11,16,27,15,5,32,24,11,13,29,20,33,3,20,27,23,23,28,28,26,18,12,24,34,20,28,24,29
5a0f202bc31f3448494eb6f9,25,24,34,33,34,26,33,36,17,18,21,14,19,27,22,20,30,16,34,18,34,36,23,32,34,21,34,18,22,0,23,34,27,25,42,20,3,28,20,20,30,22,20,36,15,16,4,22,23,10,18,20,34,26,34,22,30,19,32,18,23,31,14,19,23,15,30,23,25,20,21,26,37,24,15,19,19,10,25,23,29,13,44,10,42,18,21,16,31,27,24,22,19,31,6,24,6,18,39,17,28,23,37,21,17,29,22,29,21,16,21,26,22,25,23,21,34,19,5,21,11,16,12,24,22,16,8,22,17,22,10,13,17,27,19,36,40,16,19,25,8,26,18,19,16,22,36,19,29,20,24,29,30,23,21,24,15,15,26,24,39,14,20,22,11,17,12,38,15,10,8,17,30,30,31,15,10,16,24
5a0f215be691ef1af5572639,33,18,16,14,29,23,30,30,16,17,6,18,18,17,38,16,29,14,12,24,12,35,19,9,29,36,34,14,20,33,0,30,19,24,28,15,24,26,26,21,33,15,16,26,26,19,27,17,13,24,17,34,16,22,29,18,25,16,29,17,7,16,21,15,20,14,17,19,19,23,10,20,31,9,9,35,18,32,10,18,28,27,23,24,37,21,21,15,25,20,15,29,15,38,28,8,28,24,36,24,23,23,34,20,15,25,16,24,28,30,18,21,18,18,6,16,21,17,20,18,17,14,16,14,5,31,23,13,16,15,21,28,16,8,26,30,19,14,8,11,31,8,14,15,19,16,21,15,28,33,9,11,15,17,19,18,29,29,11,14,17,26,26,15,17,26,24,15,23,32,30,23,25,19,25,14,26,30,19
5a0f21641c156e483dc740ca,34,16,39,39,35,28,53,15,24,25,24,29,38,16,37,22,37,35,23,38,25,42,35,32,15,46,41,19,41,34,27,0,38,31,53,21,33,47,45,20,45,39,21,29,38,20,38,27,16,35,36,39,38,27,53,23,12,31,34,26,32,41,38,31,44,24,39,28,43,24,29,44,29,34,26,34,38,43,35,28,48,33,34,36,62,22,27,24,23,44,37,40,21,39,39,28,40,42,60,42,23,29,49,28,36,48,40,48,46,46,37,18,23,40,27,13,14,38,32,33,35,35,26,37,22,38,33,36,24,13,35,41,23,23,44,18,30,35,25,28,42,31,32,21,20,14,46,20,34,50,34,36,40,14,40,42,34,44,36,36,28,44,22,40,28,39,38,38,24,44,41,41,50,39,29,22,31,46,16
5a0f21686d59381b0f22075a,29,25,30,26,34,27,26,38,17,18,18,14,13,27,29,20,31,10,31,16,30,37,21,27,36,24,35,18,15,31,19,36,0,25,35,20,10,22,13,23,30,14,20,36,16,18,12,21,23,12,14,25,30,26,27,22,32,17,33,19,17,25,8,16,16,15,26,23,18,22,18,19,38,18,12,26,13,14,20,22,23,18,41,12,35,20,22,17,32,19,18,22,19,35,10,21,11,10,32,10,29,24,35,21,11,23,15,22,14,11,16,27,22,19,19,23,34,12,7,18,4,9,13,19,20,21,12,17,17,23,9,12,18,24,12,38,37,9,17,22,13,23,13,20,19,23,30,19,30,15,18,23,25,24,15,17,20,10,20,18,35,8,24,15,12,17,12,33,19,14,12,10,23,26,31,15,16,11,26
5a0f216e6d59381b0f22075b,25,6,30,31,24,18,44,14,14,15,15,19,28,7,30,12,27,25,19,28,20,32,25,25,13,37,31,9,31,25,19,13,29,0,45,11,24,37,35,11,35,30,11,20,28,11,28,17,7,25,26,30,29,17,44,13,8,21,24,16,23,32,28,21,34,14,29,18,33,15,19,34,19,25,16,27,28,34,26,18,38,24,30,27,52,13,18,14,13,35,28,30,11,31,30,19,30,32,50,32,13,19,39,18,26,38,30,38,36,36,27,8,13,31,18,4,11,28,22,23,25,25,16,27,13,28,24,27,14,3,25,31,13,15,34,14,25,25,15,19,33,22,23,11,11,4,37,10,24,40,25,28,31,5,30,32,25,34,27,27,23,34,15,30,18,29,28,31,15,34,32,31,40,29,19,12,22,36,6
5a0f21990525bc484398d1fd,39,26,22,7,36,30,26,38,22,23,13,23,19,25,43,23,36,15,17,28,16,42,24,9,37,40,40,21,20,40,9,38,23,30,0,22,27,27,27,28,38,11,23,33,30,25,30,24,21,27,19,39,22,29,23,25,32,21,36,24,5,15,23,20,16,20,21,25,15,29,16,16,39,8,14,41,18,34,9,25,28,32,26,28,31,27,27,22,33,16,16,34,22,45,30,15,31,25,32,25,30,29,39,26,15,24,12,21,29,31,21,28,25,17,13,23,29,17,23,22,17,14,22,15,13,36,27,13,22,23,24,30,23,15,26,38,24,14,15,18,33,15,17,22,26,24,20,22,35,33,8,3,14,24,20,14,34,30,9,14,22,27,33,11,22,30,27,15,29,34,32,24,20,23,32,20,31,31,26
5a0f225c5c4f9a48378c2db3,18,9,26,28,20,12,37,22,6,7,12,11,20,12,24,6,19,18,22,20,22,24,18,24,20,27,22,3,23,19,16,20,22,12,41,0,15,30,26,7,26,23,5,21,19,4,19,10,9,16,18,22,26,11,38,7,16,14,18,7,19,27,20,14,27,6,25,11,27,8,14,28,22,20,9,21,21,25,21,11,31,15,33,17,46,6,9,5,16,28,22,21,4,24,21,16,21,24,43,24,13,11,31,10,19,31,24,32,27,27,20,11,7,25,14,6,19,21,13,15,17,18,7,22,12,20,15,21,6,7,16,22,4,16,26,21,28,17,11,15,24,19,16,5,5,7,32,4,16,31,20,25,26,7,23,26,17,25,23,21,27,25,12,24,9,20,19,30,8,25,23,23,34,24,16,4,14,27,9
5a0f22912c520b484f1b87fc,25,24,35,33,34,26,34,36,17,18,21,15,19,27,21,20,31,17,34,19,34,36,24,32,34,21,34,18,22,28,24,34,27,25,43,20,0,29,21,20,30,22,20,36,16,16,4,22,23,11,19,19,34,26,35,22,30,20,32,18,23,31,15,19,24,15,31,23,26,19,21,27,37,24,15,19,20,10,26,23,30,12,45,10,43,17,21,16,31,27,24,22,19,31,6,25,6,18,40,18,28,23,37,21,17,30,23,30,22,17,21,26,22,26,23,21,34,19,5,21,11,16,12,25,23,16,9,23,17,22,10,13,17,27,20,36,41,16,19,25,9,27,18,19,16,22,37,19,29,21,25,29,31,22,22,25,15,16,27,24,39,15,20,23,12,17,13,38,15,10,8,17,31,30,31,15,10,17,24
5a0f22c93feafb4f684d1ac1,29,13,18,20,25,19,34,25,12,13,4,16,20,12,34,11,25,17,12,23,12,32,18,14,24,34,30,9,22,29,7,25,20,20,33,11,22,0,28,16,31,19,11,20,25,14,26,14,8,22,18,31,18,17,33,13,19,15,24,14,12,20,22,14,24,11,19,15,23,18,10,24,26,13,8,31,20,31,14,15,30,25,23,23,42,16,17,12,20,24,18,27,11,34,27,8,28,26,40,25,17,19,32,16,17,28,20,28,29,30,19,15,13,21,7,11,16,19,19,16,18,16,14,17,2,28,21,17,12,10,20,27,12,5,27,25,19,16,7,9,30,11,14,11,15,11,26,11,24,34,14,16,20,12,21,22,26,29,16,17,17,27,22,20,15,25,23,20,19,31,29,24,30,19,20,10,23,30,13
5a0f2391ae845313c72e2811,25,24,34,33,34,26,33,36,17,18,21,14,19,27,22,20,30,16,34,18,34,36,23,32,34,21,34,18,22,28,23,34,27,25,42,20,3,28,0,20,30,22,20,36,15,16,4,22,23,10,18,20,34,26,34,22,30,19,32,18,23,31,14,19,23,15,30,23,25,20,21,26,37,24,15,19,19,10,25,23,29,13,44,10,42,18,21,16,31,27,24,22,19,31,6,24,6,18,39,17,28,23,37,21,17,29,22,29,21,16,21,26,22,25,23,21,34,19,5,21,11,16,12,24,22,16,8,22,17,22,10,13,17,27,19,36,40,16,19,25,8,26,18,19,16,22,36,19,29,20,24,29,30,23,21,24,15,15,26,24,39,14,20,22,11,17,12,38,15,10,8,17,30,30,31,15,10,16,24
5a0f24065c4f9a48378c2db4,19,9,33,35,25,18,44,18,13,14,18,17,27,13,23,12,26,25,25,26,26,31,25,30,15,32,29,9,30,19,22,15,29,19,47,11,19,37,33,0,33,30,11,24,24,6,23,17,12,21,25,24,32,17,45,13,12,21,24,14,26,34,26,21,34,12,31,18,34,10,21,35,22,27,16,20,28,29,28,18,38,18,36,23,53,8,16,12,16,35,29,27,10,25,25,22,25,30,50,30,14,18,38,17,26,38,31,39,34,33,27,11,13,32,21,7,19,27,18,22,23,24,13,29,17,23,19,28,13,7,22,27,11,20,32,18,32,24,17,21,28,25,23,11,6,7,39,10,23,37,27,31,33,8,30,33,19,31,29,28,30,31,7,31,16,26,25,36,9,29,27,29,41,31,20,11,17,33,9
5a0f241432516b13bbf49e42,25,14,39,41,31,25,51,17,20,21,24,24,34,17,26,18,32,32,29,33,31,38,32,35,14,39,36,16,37,26,28,14,36,26,54,18,25,44,40,13,0,37,18,29,31,13,29,24,17,28,32,30,39,24,52,20,12,28,31,21,32,40,33,28,41,19,38,25,41,17,28,42,27,33,23,23,35,35,34,25,45,24,40,29,60,15,23,19,21,42,36,34,17,31,31,28,31,37,57,37,20,25,45,24,33,45,38,46,41,39,34,16,20,38,27,12,21,34,25,29,30,31,20,35,23,29,26,35,20,12,29,34,18,26,39,18,36,31,24,28,34,31,29,17,13,12,46,17,30,44,34,37,40,13,37,40,25,38,36,35,34,37,12,38,23,33,31,41,15,35,33,36,48,37,27,18,22,40,14
5a0f24a097e0bc483166348f,38,28,26,15,38,31,17,41,22,23,16,21,14,29,40,24,36,9,25,24,24,42,23,17,40,36,40,22,15,39,13,40,22,30,22,24,22,21,21,29,37,0,24,37,26,25,25,25,24,23,16,36,26,30,16,26,35,20,37,23,8,17,17,19,7,20,22,26,6,29,17,7,41,10,14,38,12,27,11,25,22,29,35,23,24,27,27,21,35,7,13,31,23,44,24,18,24,19,23,19,32,29,38,26,10,17,3,12,22,24,18,31,26,13,16,26,34,12,18,21,11,9,20,14,17,32,23,10,22,25,19,25,23,21,20,41,31,9,16,21,26,18,14,23,26,26,22,23,35,26,10,11,16,27,14,5,31,24,11,13,29,19,33,2,20,26,23,23,28,28,25,17,12,24,34,20,27,24,29
5a0f25093feafb4f684d1ac2,18,8,28,29,20,13,39,21,7,9,13,12,22,12,23,7,20,19,22,21,23,25,19,25,19,28,23,4,25,18,17,19,24,14,42,6,16,31,28,6,27,25,0,22,20,3,20,11,9,17,20,22,27,12,39,8,15,16,19,9,20,29,21,15,29,7,26,13,28,7,15,30,21,22,11,21,23,25,23,13,32,16,33,18,47,5,10,7,15,30,23,22,5,23,22,17,22,25,45,25,12,12,33,11,20,33,26,33,29,28,21,10,8,26,15,6,19,22,14,17,18,19,8,23,13,20,15,22,7,6,17,23,6,16,27,20,29,19,12,16,24,20,17,6,4,6,34,5,17,32,22,26,28,7,24,27,17,26,24,23,27,26,10,25,11,21,20,31,8,26,23,24,35,25,16,5,14,28,9
5a0f2514e691ef1af557263b,32,15,38,39,33,27,53,14,23,24,23,28,37,15,35,21,36,34,24,37,26,41,34,33,13,45,39,18,40,32,27,14,38,29,53,19,32,46,44,18,44,39,20,0,36,18,36,26,16,33,35,37,38,26,53,22,10,30,33,24,32,40,37,30,43,23,38,27,42,22,29,43,28,33,25,32,38,41,34,27,47,31,35,35,61,20,26,22,22,44,37,38,19,37,38,28,38,41,59,41,22,28,48,27,35,47,39,47,45,44,36,17,22,40,26,12,15,37,30,32,34,34,24,36,22,36,32,36,23,12,33,39,22,23,43,16,31,34,24,28,40,30,32,19,19,12,45,19,33,49,33,36,40,13,39,41,32,43,36,36,29,42,20,39,27,38,36,39,22,42,39,40,49,38,28,21,29,45,15
5a0f259a0525bc484398d200,15,11,29,31,22,15,38,23,8,9,14,11,21,15,21,9,21,19,25,20,25,26,20,27,20,26,24,6,24,16,18,21,24,14,43,9,13,31,27,7,27,25,8,24,0,2,17,13,12,15,19,19,29,14,39,10,17,16,21,9,21,29,20,15,28,7,27,14,28,6,16,29,24,22,11,18,22,23,23,14,32,13,36,16,47,4,11,7,18,30,24,20,7,21,19,19,20,24,44,24,15,13,33,12,20,32,26,33,28,26,21,13,10,26,17,8,21,22,12,17,17,19,7,23,15,18,13,23,8,9,15,21,7,19,26,23,31,18,13,18,22,21,17,8,3,9,34,7,18,31,22,27,28,9,24,27,14,25,25,23,30,24,9,25,9,20,18,33,5,23,21,23,35,26,19,6,11,27,11
5a0f25eb32516b13bbf49e44,15,10,30,32,23,16,40,22,9,11,16,13,23,14,20,9,22,21,25,22,26,27,21,28,19,28,26,7,26,15,20,19,26,16,45,9,15,33,28,6,28,27,9,24,20,0,19,14,12,17,21,20,30,15,41,11,16,17,22,11,23,31,22,17,30,9,28,15,30,6,18,31,23,24,13,18,24,24,25,15,34,14,36,18,49,4,12,9,17,32,25,22,8,21,20,20,21,26,46,25,15,14,35,13,22,34,27,35,29,28,23,13,11,28,18,8,21,23,13,18,19,20,9,25,16,19,15,24,9,8,17,23,8,19,28,21,32,20,14,19,23,22,19,8,2,8,36,8,20,32,24,28,30,9,26,29,15,26,26,25,30,26,8,27,11,22,20,34,5,25,22,25,37,28,19,7,12,28,11
5a0f25efbcb30313c1318d97,29,27,36,33,37,30,32,40,20,21,23,17,19,30,25,23,34,16,36,20,36,39,25,33,38,24,38,21,22,32,25,38,28,28,42,23,7,28,20,24,33,21,23,39,18,19,0,25,26,13,19,24,36,29,32,25,34,22,36,21,23,32,15,21,22,18,32,26,24,23,23,26,41,25,17,23,19,7,26,26,29,17,47,12,41,21,25,19,34,26,25,25,22,35,4,26,4,17,38,17,31,27,39,24,17,29,22,29,20,14,22,30,25,26,25,25,37,19,8,23,10,16,15,25,25,20,12,23,20,25,12,14,20,29,19,40,43,16,21,27,6,28,19,22,20,25,37,22,33,18,25,29,31,26,21,23,19,14,27,24,41,12,24,21,14,19,14,39,19,8,5,16,29,31,34,18,14,14,28
5a0f2610d6c58c139daa8a53,28,14,17,19,25,18,31,27,11,12,2,14,16,14,33,11,24,13,15,21,14,31,15,14,26,32,29,9,19,29,6,26,17,19,32,11,20,25,25,16,29,16,11,22,22,14,23,0,10,20,15,29,16,17,31,13,21,12,24,12,10,18,19,11,21,10,16,14,20,18,7,21,27,11,5,30,17,28,12,13,26,23,25,21,39,16,16,11,21,21,15,25,11,34,24,6,25,22,37,22,18,18,30,15,14,25,17,25,26,27,16,17,13,18,4,12,19,16,16,13,15,13,12,14,3,26,19,14,11,11,17,24,11,8,24,27,21,13,4,7,27,9,11,11,14,12,23,11,23,31,11,15,17,13,18,19,24,26,14,14,19,24,21,17,13,23,21,20,18,29,26,21,27,16,20,9,21,27,15
